Dataset,Aggregation Time,Metric,Lag,Value
College graph 1,1h,Autocorrelation,0,1.0
College graph 1,1h,Autocorrelation,1,0.3248915207778886
College graph 1,1h,Autocorrelation,2,0.14573053657927093
College graph 1,1h,Autocorrelation,3,0.10146453082184687
College graph 1,1h,Autocorrelation,4,0.0721697588459261
College graph 1,1h,Autocorrelation,5,0.056208532021955644
College graph 1,1h,Autocorrelation,6,0.04624694021257714
College graph 1,1d,Autocorrelation,0,1.0
College graph 1,1d,Autocorrelation,1,0.3606252500626671
College graph 1,1d,Autocorrelation,2,0.23524489527815048
College graph 1,1d,Autocorrelation,3,0.1667216492652185
College graph 1,1d,Autocorrelation,4,0.10735002256808039
College graph 1,1d,Autocorrelation,5,0.10512662314792195
College graph 1,1d,Autocorrelation,6,0.08533335756026722
College graph 1,3d,Autocorrelation,0,1.0
College graph 1,3d,Autocorrelation,1,0.3450638955238585
College graph 1,3d,Autocorrelation,2,0.16377251160069706
College graph 1,3d,Autocorrelation,3,0.04871495530696367
College graph 1,3d,Autocorrelation,4,-0.0350510397227641
College graph 1,3d,Autocorrelation,5,-0.052845248358023254
College graph 1,3d,Autocorrelation,6,-0.11331727569523213
College graph 1,1h,Weighted Jaccard Similarity,0,1.0
College graph 1,1h,Weighted Jaccard Similarity,1,0.17189258346708006
College graph 1,1h,Weighted Jaccard Similarity,2,0.10539768066444524
College graph 1,1h,Weighted Jaccard Similarity,3,0.08447918584088765
College graph 1,1h,Weighted Jaccard Similarity,4,0.07195895394198204
College graph 1,1h,Weighted Jaccard Similarity,5,0.06418245504875253
College graph 1,1h,Weighted Jaccard Similarity,6,0.05918641608589225
College graph 1,1d,Weighted Jaccard Similarity,0,1.0
College graph 1,1d,Weighted Jaccard Similarity,1,0.31300560437125596
College graph 1,1d,Weighted Jaccard Similarity,2,0.25509050869436367
College graph 1,1d,Weighted Jaccard Similarity,3,0.22739274707837198
College graph 1,1d,Weighted Jaccard Similarity,4,0.20490100725960958
College graph 1,1d,Weighted Jaccard Similarity,5,0.20132939837135025
College graph 1,1d,Weighted Jaccard Similarity,6,0.1949626367722592
College graph 1,3d,Weighted Jaccard Similarity,0,1.0
College graph 1,3d,Weighted Jaccard Similarity,1,0.35523213489444844
College graph 1,3d,Weighted Jaccard Similarity,2,0.2865611604315966
College graph 1,3d,Weighted Jaccard Similarity,3,0.24202033774347229
College graph 1,3d,Weighted Jaccard Similarity,4,0.21159421998365566
College graph 1,3d,Weighted Jaccard Similarity,5,0.20204457562325867
College graph 1,3d,Weighted Jaccard Similarity,6,0.17914440432826284
College graph 2,1h,Autocorrelation,0,1.0
College graph 2,1h,Autocorrelation,1,0.19427633481564616
College graph 2,1h,Autocorrelation,2,0.09291044107473283
College graph 2,1h,Autocorrelation,3,0.057933200400916006
College graph 2,1h,Autocorrelation,4,0.046950359052527764
College graph 2,1h,Autocorrelation,5,0.04063464500551711
College graph 2,1h,Autocorrelation,6,0.03765707091673979
College graph 2,1d,Autocorrelation,0,1.0
College graph 2,1d,Autocorrelation,1,0.2826966209817674
College graph 2,1d,Autocorrelation,2,0.21484284483262459
College graph 2,1d,Autocorrelation,3,0.1685486368397446
College graph 2,1d,Autocorrelation,4,0.1347650820572094
College graph 2,1d,Autocorrelation,5,0.13621533053202028
College graph 2,1d,Autocorrelation,6,0.1150342604589135
College graph 2,3d,Autocorrelation,0,1.0
College graph 2,3d,Autocorrelation,1,0.33555185403028076
College graph 2,3d,Autocorrelation,2,0.20927781112646862
College graph 2,3d,Autocorrelation,3,0.09934658208616653
College graph 2,3d,Autocorrelation,4,0.06009587661637494
College graph 2,3d,Autocorrelation,5,0.03822670635797091
College graph 2,3d,Autocorrelation,6,0.0009420652764073813
College graph 2,1h,Weighted Jaccard Similarity,0,1.0
College graph 2,1h,Weighted Jaccard Similarity,1,0.09622029564167275
College graph 2,1h,Weighted Jaccard Similarity,2,0.06244775499748625
College graph 2,1h,Weighted Jaccard Similarity,3,0.04836378217510332
College graph 2,1h,Weighted Jaccard Similarity,4,0.04404568515797603
College graph 2,1h,Weighted Jaccard Similarity,5,0.04172430544855721
College graph 2,1h,Weighted Jaccard Similarity,6,0.039703146724915775
College graph 2,1d,Weighted Jaccard Similarity,0,1.0
College graph 2,1d,Weighted Jaccard Similarity,1,0.23037984203276518
College graph 2,1d,Weighted Jaccard Similarity,2,0.19443338790229178
College graph 2,1d,Weighted Jaccard Similarity,3,0.17109067430900243
College graph 2,1d,Weighted Jaccard Similarity,4,0.1566860972145002
College graph 2,1d,Weighted Jaccard Similarity,5,0.1534754989246831
College graph 2,1d,Weighted Jaccard Similarity,6,0.1425234736014409
College graph 2,3d,Weighted Jaccard Similarity,0,1.0
College graph 2,3d,Weighted Jaccard Similarity,1,0.29775845213218094
College graph 2,3d,Weighted Jaccard Similarity,2,0.23466147086407096
College graph 2,3d,Weighted Jaccard Similarity,3,0.1951820661114018
College graph 2,3d,Weighted Jaccard Similarity,4,0.17789729966806822
College graph 2,3d,Weighted Jaccard Similarity,5,0.16824298115374078
College graph 2,3d,Weighted Jaccard Similarity,6,0.15679424272719536
Socio-calls graph,1h,Autocorrelation,0,1.0
Socio-calls graph,1h,Autocorrelation,1,0.12558949064786532
Socio-calls graph,1h,Autocorrelation,2,0.057988764563464586
Socio-calls graph,1h,Autocorrelation,3,0.06382100365848539
Socio-calls graph,1h,Autocorrelation,4,0.04021656373789983
Socio-calls graph,1h,Autocorrelation,5,0.03558360668291668
Socio-calls graph,1h,Autocorrelation,6,0.025497313221254703
Socio-calls graph,1d,Autocorrelation,0,1.0
Socio-calls graph,1d,Autocorrelation,1,0.2304952023361364
Socio-calls graph,1d,Autocorrelation,2,0.1481208285265157
Socio-calls graph,1d,Autocorrelation,3,0.1540249923916598
Socio-calls graph,1d,Autocorrelation,4,0.10870085861360336
Socio-calls graph,1d,Autocorrelation,5,0.09079098212440476
Socio-calls graph,1d,Autocorrelation,6,0.11727488424288536
Socio-calls graph,3d,Autocorrelation,0,1.0
Socio-calls graph,3d,Autocorrelation,1,0.29696120323634473
Socio-calls graph,3d,Autocorrelation,2,0.2110716196604605
Socio-calls graph,3d,Autocorrelation,3,0.12288590292686294
Socio-calls graph,3d,Autocorrelation,4,0.11266649253485747
Socio-calls graph,3d,Autocorrelation,5,0.11063755767319336
Socio-calls graph,3d,Autocorrelation,6,0.086885362521049
Socio-calls graph,1h,Weighted Jaccard Similarity,0,1.0
Socio-calls graph,1h,Weighted Jaccard Similarity,1,0.08682894123668641
Socio-calls graph,1h,Weighted Jaccard Similarity,2,0.053880389331862746
Socio-calls graph,1h,Weighted Jaccard Similarity,3,0.05544654646556688
Socio-calls graph,1h,Weighted Jaccard Similarity,4,0.04511566272154939
Socio-calls graph,1h,Weighted Jaccard Similarity,5,0.04275252319941547
Socio-calls graph,1h,Weighted Jaccard Similarity,6,0.03906237052130544
Socio-calls graph,1d,Weighted Jaccard Similarity,0,1.0
Socio-calls graph,1d,Weighted Jaccard Similarity,1,0.22187755758473512
Socio-calls graph,1d,Weighted Jaccard Similarity,2,0.19313110754035615
Socio-calls graph,1d,Weighted Jaccard Similarity,3,0.18933848229423295
Socio-calls graph,1d,Weighted Jaccard Similarity,4,0.17906712519416335
Socio-calls graph,1d,Weighted Jaccard Similarity,5,0.17105255483874135
Socio-calls graph,1d,Weighted Jaccard Similarity,6,0.17909007619155373
Socio-calls graph,3d,Weighted Jaccard Similarity,0,1.0
Socio-calls graph,3d,Weighted Jaccard Similarity,1,0.32939821518411916
Socio-calls graph,3d,Weighted Jaccard Similarity,2,0.30319534788572705
Socio-calls graph,3d,Weighted Jaccard Similarity,3,0.27790819593871324
Socio-calls graph,3d,Weighted Jaccard Similarity,4,0.2707731973239275
Socio-calls graph,3d,Weighted Jaccard Similarity,5,0.27358933993433066
Socio-calls graph,3d,Weighted Jaccard Similarity,6,0.26263998069734296
Socio-sms graph,1h,Autocorrelation,0,1.0
Socio-sms graph,1h,Autocorrelation,1,0.45076905285855506
Socio-sms graph,1h,Autocorrelation,2,0.20335393034747634
Socio-sms graph,1h,Autocorrelation,3,0.17536063248239264
Socio-sms graph,1h,Autocorrelation,4,0.11704106367276265
Socio-sms graph,1h,Autocorrelation,5,0.0674399324815006
Socio-sms graph,1h,Autocorrelation,6,0.058504362949330056
Socio-sms graph,1d,Autocorrelation,0,1.0
Socio-sms graph,1d,Autocorrelation,1,0.22929706846579126
Socio-sms graph,1d,Autocorrelation,2,0.11379419880319427
Socio-sms graph,1d,Autocorrelation,3,0.08068585750115326
Socio-sms graph,1d,Autocorrelation,4,0.07456495641664537
Socio-sms graph,1d,Autocorrelation,5,0.053760374479597
Socio-sms graph,1d,Autocorrelation,6,0.06363729932271991
Socio-sms graph,3d,Autocorrelation,0,1.0
Socio-sms graph,3d,Autocorrelation,1,0.20658383790332724
Socio-sms graph,3d,Autocorrelation,2,0.0742872338596908
Socio-sms graph,3d,Autocorrelation,3,0.07526200480188938
Socio-sms graph,3d,Autocorrelation,4,0.04311865132464416
Socio-sms graph,3d,Autocorrelation,5,0.06182396380276576
Socio-sms graph,3d,Autocorrelation,6,-0.012511263497279976
Socio-sms graph,1h,Weighted Jaccard Similarity,0,1.0
Socio-sms graph,1h,Weighted Jaccard Similarity,1,0.269486277884821
Socio-sms graph,1h,Weighted Jaccard Similarity,2,0.1323390843464714
Socio-sms graph,1h,Weighted Jaccard Similarity,3,0.10812891402131727
Socio-sms graph,1h,Weighted Jaccard Similarity,4,0.07758144509170062
Socio-sms graph,1h,Weighted Jaccard Similarity,5,0.059029481219850605
Socio-sms graph,1h,Weighted Jaccard Similarity,6,0.051295468599850236
Socio-sms graph,1d,Weighted Jaccard Similarity,0,1.0
Socio-sms graph,1d,Weighted Jaccard Similarity,1,0.1560741182185142
Socio-sms graph,1d,Weighted Jaccard Similarity,2,0.11153482356868169
Socio-sms graph,1d,Weighted Jaccard Similarity,3,0.09733339604629729
Socio-sms graph,1d,Weighted Jaccard Similarity,4,0.09916732940227298
Socio-sms graph,1d,Weighted Jaccard Similarity,5,0.08954424507100675
Socio-sms graph,1d,Weighted Jaccard Similarity,6,0.09013103762946971
Socio-sms graph,3d,Weighted Jaccard Similarity,0,1.0
Socio-sms graph,3d,Weighted Jaccard Similarity,1,0.19518165929531173
Socio-sms graph,3d,Weighted Jaccard Similarity,2,0.14989619167960194
Socio-sms graph,3d,Weighted Jaccard Similarity,3,0.14121185139176895
Socio-sms graph,3d,Weighted Jaccard Similarity,4,0.13135408387843628
Socio-sms graph,3d,Weighted Jaccard Similarity,5,0.1312549961360986
Socio-sms graph,3d,Weighted Jaccard Similarity,6,0.10617798881062447
